player_id;player;team;age;games_played;wins;losses;minutes;rebounds;assists;turnovers;steals;blocks;personal_fouls;points
467;Wayne Ellington;BKN;28;76;18;58;21.3;2.3;1.1;0.6;0.6;0.1;1.1;7.7
468;Wesley Johnson;LAC;28;80;51;29;20.8;3.1;0.6;0.7;1.1;0.7;2.2;6.9
469;Wesley Matthews;DAL;29;78;40;38;33.9;3.1;1.9;1.0;1.0;0.2;2.3;12.5
470;Will Barton;DEN;25;82;33;49;28.7;5.8;2.5;1.7;0.9;0.5;1.8;14.4
471;Willie Cauley-Stein;SAC;22;66;26;40;21.4;5.3;0.6;0.7;0.7;1.0;2.2;7.0
472;Willie Reed;BKN;26;39;8;31;10.9;3.1;0.3;0.4;0.2;0.8;1.2;4.7
473;Xavier Munford;MEM;24;14;3;11;17.4;2.2;1.6;1.1;0.9;0.2;1.8;5.7
474;Zach LaVine;MIN;21;82;29;53;28.0;2.8;3.1;1.9;0.8;0.2;2.4;14.0
475;Zach Randolph;MEM;34;68;37;31;29.7;7.8;2.1;1.5;0.6;0.2;2.1;15.3
476;Zaza Pachulia;DAL;32;76;40;36;26.4;9.4;1.7;1.6;0.8;0.3;2.4;8.6
