Rebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls,Points,Position,GenPosition
 Juwan Howard,2.1 ,0.4 ,0.4 ,0.2 ,0.1 ,1.1 ,2.4 ,Power Forward,Forward
 Keith Bogans,1.8 ,1.2 ,0.5 ,0.5 ,0.1 ,1.4 ,4.4 ,Guard Forward,Guard
 Kendrick Perkins,8.0 ,0.9 ,1.9 ,0.3 ,0.9 ,3.1 ,6.0 ,Center,Center
 Kenyon Martin,6.2 ,2.3 ,1.2 ,0.9 ,0.7 ,2.8 ,8.6 ,Forward Center,Forward
 Kevin Garnett,8.9 ,2.4 ,1.6 ,1.3 ,0.8 ,2.1 ,14.9 ,Forward Center,Forward
 Kevin Love,15.2 ,2.5 ,2.1 ,0.6 ,0.4 ,2.0 ,20.2 ,Forward Center,Forward
 Kevin Martin,3.2 ,2.5 ,2.3 ,1.0 ,0.2 ,1.9 ,23.5 ,Guard Forward,Guard
 Kevin Seraphin,2.6 ,0.2 ,0.7 ,0.3 ,0.5 ,2.2 ,2.7 ,Forward Center,Forward
 Keyon Dooling,1.5 ,3.0 ,1.1 ,0.7 ,0.1 ,1.5 ,7.1 ,Guard,Guard
 Kirk Hinrich,2.5 ,4.0 ,1.7 ,1.0 ,0.2 ,2.6 ,10.2 ,Guard,Guard
 Kobe Bryant,5.1 ,4.7 ,3.0 ,1.2 ,0.1 ,2.1 ,25.3 ,Point Guard,Guard
 Kosta Koufos,2.6 ,0.1 ,0.6 ,0.2 ,0.5 ,1.2 ,3.2 ,Forward Center,Forward
 Kris Humphries,10.4 ,1.1 ,1.4 ,0.4 ,1.1 ,2.3 ,10.0 ,Forward Center,Forward
 Kurt Thomas,5.8 ,1.2 ,0.8 ,0.6 ,0.8 ,3.2 ,4.1 ,Forward Center,Forward
 Kwame Brown,6.8 ,0.7 ,1.0 ,0.4 ,0.6 ,2.6 ,7.9 ,Center,Center
 Kyle Korver,1.8 ,1.5 ,0.7 ,0.4 ,0.2 ,1.9 ,8.3 ,Guard Forward,Guard
 Kyle Lowry,4.1 ,6.7 ,2.1 ,1.4 ,0.3 ,2.8 ,13.5 ,Point Guard,Guard
 Kyle Weaver,2.0 ,1.4 ,1.4 ,0.4 ,0.4 ,0.6 ,5.6 ,Guard Forward,Guard
 Kyrylo Fesenko,2.0 ,0.3 ,0.5 ,0.1 ,0.3 ,1.7 ,2.0 ,Center,Center
 Lamar Odom,8.7 ,3.0 ,1.7 ,0.6 ,0.7 ,2.4 ,14.4 ,Forward,Forward
 LaMarcus Aldridge,8.8 ,2.1 ,1.9 ,1.0 ,1.2 ,2.7 ,21.8 ,Forward Center,Forward
 Lance Stephenson,1.5 ,1.8 ,1.3 ,0.3 ,0.0 ,1.2 ,3.1 ,Guard Forward,Guard
 Landry Fields,6.4 ,1.9 ,1.3 ,1.0 ,0.2 ,1.4 ,9.7 ,Guard Forward,Guard
 Larry Owens,1.3 ,0.7 ,0.4 ,0.8 ,0.4 ,1.5 ,3.3 ,Guard Forward,Guard
 Larry Sanders,3.0 ,0.3 ,0.6 ,0.4 ,1.2 ,2.0 ,4.3 ,Forward Center,Forward
 Lazar Hayward,1.7 ,0.7 ,0.5 ,0.3 ,0.2 ,1.0 ,3.8 ,Small Forward,Forward
 Leandro Barbosa,1.7 ,2.1 ,1.4 ,0.9 ,0.1 ,1.9 ,13.3 ,Guard,Guard
 LeBron James,7.5 ,7.0 ,3.6 ,1.6 ,0.6 ,2.1 ,26.7 ,Forward,Forward
 Leon Powe,2.1 ,0.2 ,0.4 ,0.3 ,0.1 ,1.5 ,5.3 ,Forward Center,Forward
 Lester Hudson,0.5 ,1.5 ,0.6 ,0.4 ,0.1 ,0.9 ,1.6 ,Guard,Guard
 Linas Kleiza,4.5 ,1.0 ,1.7 ,0.5 ,0.2 ,2.5 ,11.2 ,Small Forward,Forward
 Lou Williams,2.0 ,3.4 ,1.4 ,0.6 ,0.2 ,1.7 ,13.7 ,Guard,Guard
 Louis Amundson,4.0 ,0.4 ,0.5 ,0.3 ,0.7 ,1.9 ,4.3 ,Power Forward,Forward
 Luc Richard Mbah a Moute,5.3 ,0.9 ,1.0 ,0.9 ,0.4 ,2.3 ,6.7 ,Forward,Forward
 Luis Scola,8.2 ,2.5 ,2.0 ,0.6 ,0.6 ,3.1 ,18.3 ,Forward Center,Forward
 Luke Babbitt,1.3 ,0.3 ,0.3 ,0.1 ,0.1 ,0.6 ,1.5 ,Small Forward,Forward
 Luke Harangody,2.9 ,0.6 ,0.3 ,0.3 ,0.3 ,1.6 ,3.9 ,Power Forward,Forward
 Luke Ridnour,2.8 ,5.4 ,2.2 ,1.3 ,0.1 ,2.1 ,11.8 ,Guard,Guard
 Luke Walton,1.2 ,1.1 ,0.6 ,0.2 ,0.1 ,0.7 ,1.7 ,Small Forward,Forward
 Luol Deng,5.8 ,2.8 ,1.9 ,1.0 ,0.6 ,2.0 ,17.4 ,Forward,Forward
 Luther Head,1.7 ,1.9 ,0.9 ,0.3 ,0.3 ,1.2 ,5.6 ,Guard,Guard
 Malik Allen,1.8 ,0.2 ,0.2 ,0.1 ,0.2 ,1.7 ,1.3 ,Forward Center,Forward
 Manny Harris,2.6 ,1.6 ,1.2 ,0.6 ,0.1 ,1.2 ,5.9 ,Shooting Guard,Guard
 Manu Ginobili,3.7 ,4.9 ,2.2 ,1.5 ,0.4 ,2.0 ,17.4 ,Guard Forward,Guard
 Marc Gasol,7.0 ,2.5 ,1.8 ,0.9 ,1.7 ,3.3 ,11.7 ,Center,Center
 Marcin Gortat,7.9 ,0.9 ,1.0 ,0.5 ,1.1 ,2.4 ,10.2 ,Center,Center
 Marco Belinelli,1.9 ,1.2 ,1.0 ,0.5 ,0.1 ,1.8 ,10.5 ,Guard Forward,Guard
 Marcus Camby,10.3 ,2.1 ,1.1 ,0.7 ,1.6 ,2.4 ,4.7 ,Forward Center,Forward
 Marcus Cousin,0.8 ,0.0 ,0.3 ,0.0 ,0.3 ,0.3 ,1.0 ,Center,Center
 Marcus Thornton,3.5 ,1.8 ,1.3 ,0.9 ,0.1 ,1.5 ,12.8 ,Guard Forward,Guard
 Mario Chalmers,2.1 ,2.5 ,1.3 ,1.1 ,0.1 ,2.3 ,6.4 ,Guard,Guard
 Mario West,1.8 ,1.7 ,0.3 ,1.2 ,0.0 ,2.2 ,3.7 ,Guard Forward,Guard
 Marquis Daniels,2.3 ,1.3 ,0.8 ,0.8 ,0.4 ,1.3 ,5.5 ,Guard Forward,Guard
 Marreese Speights,3.3 ,0.5 ,0.6 ,0.1 ,0.3 ,1.9 ,5.4 ,Forward Center,Forward
 Martell Webster,3.2 ,1.2 ,1.3 ,0.6 ,0.2 ,2.2 ,9.8 ,Guard Forward,Guard
 Marvin Williams,4.8 ,1.4 ,1.0 ,0.5 ,0.4 ,1.6 ,10.4 ,Forward,Forward
 Matt Barnes,4.3 ,1.3 ,1.1 ,0.7 ,0.4 ,2.4 ,6.7 ,Guard Forward,Guard
 Matt Bonner,3.6 ,0.9 ,0.4 ,0.4 ,0.3 ,1.7 ,7.3 ,Forward Center,Forward
 Matt Carroll,1.3 ,0.4 ,0.4 ,0.3 ,0.1 ,0.8 ,4.4 ,Guard Forward,Guard
 Maurice Ager,0.5 ,0.3 ,1.0 ,0.3 ,0.0 ,1.0 ,3.8 ,Guard Forward,Guard
 Maurice Evans,2.1 ,0.6 ,0.5 ,0.5 ,0.2 ,1.8 ,6.3 ,Guard Forward,Guard
 Mehmet Okur,2.3 ,1.5 ,0.5 ,0.3 ,0.3 ,1.4 ,4.9 ,Center,Center
 Melvin Ely,2.5 ,0.5 ,0.5 ,0.1 ,0.4 ,1.7 ,2.3 ,Forward Center,Forward
 Metta World Peace,3.3 ,2.1 ,1.1 ,1.5 ,0.4 ,2.2 ,8.5 ,Forward,Forward
 Michael Beasley,5.6 ,2.2 ,2.7 ,0.7 ,0.7 ,3.0 ,19.2 ,Forward,Forward
 Michael Redd,0.8 ,1.2 ,0.4 ,0.2 ,0.1 ,0.4 ,4.4 ,Guard Forward,Guard
 Mickael Pietrus,2.2 ,0.6 ,0.7 ,0.5 ,0.4 ,1.8 ,7.2 ,Guard Forward,Guard
 Mike Bibby,2.4 ,3.3 ,1.3 ,0.6 ,0.1 ,2.2 ,8.6 ,Point Guard,Guard
 Mike Conley,3.0 ,6.5 ,2.2 ,1.8 ,0.2 ,2.2 ,13.7 ,Point Guard,Guard
 Mike Dunleavy,4.5 ,1.7 ,1.1 ,0.7 ,0.5 ,1.8 ,11.2 ,Guard Forward,Guard
 Mike Harris,1.3 ,0.3 ,0.3 ,0.0 ,0.3 ,0.5 ,2.0 ,Small Forward,Forward
 Mike Miller,4.5 ,1.2 ,1.0 ,0.5 ,0.0 ,2.1 ,5.6 ,Guard Forward,Guard
 Mo Williams,2.6 ,6.6 ,2.9 ,0.9 ,0.2 ,2.6 ,14.0 ,Guard,Guard
 Monta Ellis,3.5 ,5.6 ,3.2 ,2.1 ,0.3 ,2.5 ,24.1 ,Guard,Guard
 Morris Peterson,0.8 ,0.3 ,0.0 ,0.0 ,0.0 ,1.3 ,1.0 ,Shooting Guard,Guard
 Nate Robinson,1.5 ,1.9 ,1.2 ,0.5 ,0.1 ,1.9 ,6.8 ,Guard,Guard
 Nazr Mohammed,4.9 ,0.3 ,0.9 ,0.4 ,0.7 ,2.5 ,7.1 ,Center,Center
 Nenad Krstic,4.7 ,0.4 ,0.8 ,0.4 ,0.4 ,2.6 ,8.1 ,Center,Center
 Nene Hilario,7.6 ,2.0 ,1.8 ,1.1 ,1.0 ,3.2 ,14.5 ,Forward Center,Forward
 Nick Collison,4.5 ,1.0 ,0.8 ,0.6 ,0.4 ,3.0 ,4.6 ,Forward Center,Forward
 Nick Young,2.7 ,1.2 ,1.4 ,0.7 ,0.3 ,2.3 ,17.4 ,Guard Forward,Guard
 Nicolas Batum,4.5 ,1.5 ,1.0 ,0.9 ,0.6 ,2.4 ,12.4 ,Guard Forward,Guard
 Nikola Pekovic,3.0 ,0.4 ,1.4 ,0.3 ,0.5 ,2.8 ,5.5 ,Center,Center
 O.J. Mayo,2.4 ,2.0 ,1.4 ,1.0 ,0.4 ,1.8 ,11.3 ,Guard,Guard
 Omer Asik,3.7 ,0.4 ,0.8 ,0.2 ,0.7 ,1.9 ,2.8 ,Forward Center,Forward
 Omri Casspi,4.3 ,1.0 ,1.0 ,0.8 ,0.2 ,1.6 ,8.6 ,Forward,Forward
 Othyus Jeffers,3.9 ,1.2 ,0.8 ,1.0 ,0.0 ,1.9 ,5.5 ,Guard Forward,Guard
 Pape Sy,1.0 ,0.7 ,1.0 ,0.3 ,0.0 ,0.3 ,2.3 ,Guard Forward,Guard
 Patrick Ewing Jr.,0.3 ,0.3 ,0.1 ,0.0 ,0.1 ,0.1 ,0.4 ,Small Forward,Forward
 Patrick Patterson,3.8 ,0.8 ,0.6 ,0.3 ,0.7 ,1.5 ,6.3 ,Forward Center,Forward
 Pau Gasol,10.2 ,3.3 ,1.7 ,0.6 ,1.6 ,2.5 ,18.8 ,Forward Center,Forward
 Paul George,3.7 ,1.1 ,1.1 ,1.0 ,0.4 ,2.1 ,7.8 ,Forward,Forward
 Paul Millsap,7.6 ,2.5 ,1.9 ,1.4 ,0.9 ,3.6 ,17.3 ,Forward Center,Forward
 Paul Pierce,5.4 ,3.3 ,2.1 ,1.0 ,0.6 ,2.9 ,18.9 ,Forward,Forward
 Peja Stojakovic,2.3 ,0.9 ,0.5 ,0.4 ,0.1 ,0.7 ,8.5 ,Guard Forward,Guard
 Pops Mensah-Bonsu,1.6 ,0.3 ,0.3 ,0.0 ,0.0 ,1.6 ,0.3 ,Forward,Forward
 Quentin Richardson,3.1 ,0.7 ,0.6 ,0.4 ,0.1 ,1.3 ,4.4 ,Shooting Guard,Guard
 Quincy Pondexter,1.3 ,0.4 ,0.2 ,0.3 ,0.2 ,1.0 ,2.8 ,Guard Forward,Guard
 Quinton Ross,0.8 ,0.3 ,0.2 ,0.1 ,0.2 ,1.1 ,1.6 ,Guard Forward,Guard
 Raja Bell,2.6 ,1.7 ,0.9 ,0.8 ,0.2 ,2.5 ,8.0 ,Shooting Guard,Guard
 Ramon Sessions,3.1 ,5.2 ,2.2 ,0.7 ,0.1 ,1.1 ,13.3 ,Guard,Guard
 Randy Foye,1.6 ,2.7 ,1.5 ,0.7 ,0.3 ,1.9 ,9.8 ,Guard,Guard
 Rashard Lewis,5.1 ,1.6 ,1.5 ,0.9 ,0.5 ,2.8 ,11.7 ,Forward,Forward
 Rasual Butler,1.6 ,0.6 ,0.5 ,0.2 ,0.3 ,0.8 ,4.7 ,Guard Forward,Guard
 Ray Allen,3.4 ,2.7 ,1.5 ,1.0 ,0.2 ,1.8 ,16.5 ,Shooting Guard,Guard
 Raymond Felton,3.6 ,8.3 ,2.9 ,1.7 ,0.1 ,2.0 ,15.5 ,Guard,Guard
 Reggie Evans,11.5 ,1.3 ,1.3 ,1.0 ,0.2 ,3.0 ,4.4 ,Forward Center,Forward
 Reggie Williams,2.7 ,1.5 ,0.7 ,0.4 ,0.0 ,1.6 ,9.2 ,Guard Forward,Guard
 Renaldo Balkman,0.9 ,0.3 ,0.1 ,0.5 ,0.3 ,1.9 ,2.0 ,Forward,Forward
 Richard Hamilton,2.3 ,3.1 ,1.6 ,0.7 ,0.1 ,1.7 ,14.1 ,Shooting Guard,Guard
 Richard Jefferson,3.8 ,1.3 ,1.1 ,0.5 ,0.4 ,2.0 ,11.0 ,Guard Forward,Guard
 Robin Lopez,3.2 ,0.1 ,0.7 ,0.3 ,0.7 ,2.1 ,6.4 ,Center,Center
 Rodney Carney,1.8 ,0.4 ,0.6 ,0.4 ,0.2 ,1.2 ,4.7 ,Guard Forward,Guard
 Rodney Stuckey,3.1 ,5.2 ,2.2 ,1.1 ,0.1 ,2.5 ,15.5 ,Guard,Guard
 Rodrigue Beaubois,1.9 ,2.3 ,1.7 ,0.7 ,0.3 ,2.7 ,8.4 ,Guard,Guard
 Roger Mason Jr.,1.7 ,0.8 ,0.2 ,0.2 ,0.1 ,1.0 ,2.9 ,Shooting Guard,Guard
 Ronald Dupree,1.0 ,0.3 ,0.0 ,0.0 ,0.0 ,0.7 ,0.7 ,Small Forward,Forward
 Ronnie Brewer,3.2 ,1.7 ,0.7 ,1.3 ,0.3 ,1.0 ,6.2 ,Guard Forward,Guard
 Ronnie Price,1.0 ,0.9 ,0.9 ,0.7 ,0.1 ,1.8 ,3.3 ,Guard,Guard
 Ronny Turiaf,3.2 ,1.4 ,0.6 ,0.5 ,1.1 ,2.5 ,4.2 ,Forward Center,Forward
 Roy Hibbert,7.5 ,2.0 ,2.3 ,0.4 ,1.8 ,3.2 ,12.7 ,Center,Center
 Royal Ivey,0.6 ,0.3 ,0.2 ,0.2 ,0.0 ,0.7 ,1.6 ,Shooting Guard,Guard
 Rudy Fernandez,2.2 ,2.5 ,1.1 ,1.1 ,0.2 ,1.7 ,8.6 ,Guard Forward,Guard
 Rudy Gay,6.2 ,2.8 ,2.5 ,1.7 ,1.1 ,2.4 ,19.8 ,Forward,Forward
 Russell Westbrook,4.6 ,8.2 ,3.9 ,1.9 ,0.4 ,2.5 ,21.9 ,Point Guard,Guard
 Ryan Anderson,5.5 ,0.8 ,0.8 ,0.5 ,0.6 ,2.1 ,10.6 ,Forward Center,Forward
 Ryan Gomes,3.3 ,1.6 ,0.7 ,0.8 ,0.2 ,2.1 ,7.2 ,Forward,Forward
 Ryan Hollins,2.7 ,0.4 ,1.0 ,0.3 ,0.6 ,2.8 ,5.3 ,Center,Center
 Sam Young,2.4 ,0.9 ,0.8 ,0.9 ,0.3 ,1.5 ,7.3 ,Guard Forward,Guard
 Samardo Samuels,4.3 ,0.5 ,1.4 ,0.4 ,0.5 ,2.4 ,7.8 ,Power Forward,Forward
 Samuel Dalembert,8.2 ,0.8 ,1.7 ,0.5 ,1.5 ,2.8 ,8.1 ,Center,Center
 Sasha Pavlovic,1.0 ,0.5 ,0.4 ,0.3 ,0.2 ,1.1 ,2.5 ,Guard Forward,Guard
 Sasha Vujacic,2.8 ,2.0 ,1.0 ,0.8 ,0.1 ,2.0 ,9.8 ,Shooting Guard,Guard
 Sean Marks,1.4 ,0.1 ,0.4 ,0.1 ,0.2 ,1.5 ,1.6 ,Forward Center,Forward
 Semih Erden,2.9 ,0.5 ,0.8 ,0.4 ,0.6 ,2.5 ,4.0 ,Center,Center
 Serge Ibaka,7.6 ,0.3 ,0.9 ,0.4 ,2.4 ,3.3 ,9.9 ,Forward Center,Forward
 Shane Battier,4.5 ,2.3 ,1.0 ,0.8 ,1.0 ,1.9 ,7.6 ,Guard Forward,Guard
 Shannon Brown,1.9 ,1.2 ,0.9 ,0.8 ,0.2 ,1.5 ,8.7 ,Shooting Guard,Guard
 Shaquille O'Neal,4.8 ,0.7 ,1.5 ,0.4 ,1.1 ,3.2 ,9.2 ,Center,Center
 Shaun Livingston,2.0 ,2.2 ,1.2 ,0.6 ,0.4 ,1.5 ,6.6 ,Guard,Guard
 Shawn Marion,6.9 ,1.4 ,1.6 ,0.9 ,0.6 ,1.8 ,12.5 ,Guard Forward,Guard
 Shawne Williams,3.7 ,0.7 ,0.7 ,0.6 ,0.8 ,2.6 ,7.1 ,Forward,Forward
 Shelden Williams,4.6 ,0.5 ,0.7 ,0.4 ,0.4 ,2.1 ,4.5 ,Forward Center,Forward
 Solomon Alabi,1.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.4 ,0.5 ,Center,Center
 Solomon Jones,2.9 ,0.8 ,0.9 ,0.3 ,0.6 ,2.4 ,3.6 ,Forward Center,Forward
 Sonny Weems,2.6 ,1.8 ,1.5 ,0.6 ,0.0 ,1.5 ,9.2 ,Guard Forward,Guard
 Spencer Hawes,5.7 ,1.5 ,1.2 ,0.4 ,0.9 ,2.5 ,7.2 ,Forward Center,Forward
 Stephen Curry,3.9 ,5.8 ,3.1 ,1.5 ,0.3 ,3.1 ,18.6 ,Guard,Guard
 Stephen Graham,2.1 ,0.7 ,0.6 ,0.2 ,0.0 ,1.8 ,3.4 ,Guard Forward,Guard
 Stephen Jackson,4.5 ,3.6 ,3.1 ,1.2 ,0.4 ,2.4 ,18.5 ,Guard Forward,Guard
 Steve Blake,2.0 ,2.2 ,0.9 ,0.5 ,0.0 ,1.3 ,4.0 ,Guard,Guard
 Steve Nash,3.5 ,11.4 ,3.5 ,0.6 ,0.1 ,1.2 ,14.7 ,Point Guard,Guard
 Steve Novak,0.9 ,0.1 ,0.1 ,0.0 ,0.2 ,0.5 ,3.5 ,Forward,Forward
 Sundiata Gaines,1.6 ,1.8 ,1.1 ,0.7 ,0.0 ,1.0 ,4.6 ,Guard,Guard
 Taj Gibson,5.7 ,0.7 ,0.9 ,0.5 ,1.3 ,2.5 ,7.1 ,Forward Center,Forward
 Tayshaun Prince,4.2 ,2.8 ,1.1 ,0.4 ,0.5 ,1.2 ,14.1 ,Forward,Forward
 Terrence Williams,2.4 ,1.8 ,1.6 ,0.4 ,0.0 ,1.2 ,5.0 ,Guard Forward,Guard
 Thabo Sefolosha,4.4 ,1.4 ,0.7 ,1.2 ,0.5 ,2.2 ,5.1 ,Guard Forward,Guard
 Thaddeus Young,5.3 ,1.0 ,1.2 ,1.1 ,0.3 ,2.1 ,12.7 ,Forward,Forward
 Theo Ratliff,1.3 ,0.3 ,0.3 ,0.2 ,0.5 ,0.7 ,0.2 ,Center,Center
 Tiago Splitter,3.4 ,0.4 ,0.5 ,0.5 ,0.3 ,1.5 ,4.6 ,Center,Center
 Tim Duncan,8.9 ,2.7 ,1.6 ,0.7 ,1.9 ,1.6 ,13.4 ,Forward Center,Forward
 Timofey Mozgov,2.7 ,0.3 ,0.8 ,0.3 ,0.6 ,1.9 ,3.6 ,Center,Center
 Toney Douglas,3.0 ,3.0 ,1.1 ,1.1 ,0.0 ,2.2 ,10.6 ,Guard,Guard
 Tony Allen,2.7 ,1.4 ,1.2 ,1.8 ,0.6 ,2.2 ,8.9 ,Guard Forward,Guard
 Tony Battie,2.6 ,0.3 ,0.3 ,0.1 ,0.4 ,1.6 ,2.6 ,Center,Center
 Tony Parker,3.1 ,6.6 ,2.6 ,1.2 ,0.0 ,1.7 ,17.5 ,Point Guard,Guard
 Tracy McGrady,3.5 ,3.5 ,1.4 ,0.9 ,0.5 ,1.4 ,8.0 ,Guard,Guard
 Travis Outlaw,4.0 ,1.0 ,0.9 ,0.4 ,0.4 ,1.8 ,9.2 ,Forward,Forward
 Trevor Ariza,5.4 ,2.2 ,1.6 ,1.6 ,0.4 ,2.4 ,11.0 ,Guard Forward,Guard
 Trevor Booker,3.9 ,0.5 ,0.6 ,0.4 ,0.6 ,1.8 ,5.3 ,Power Forward,Forward
 Trey Johnson,0.9 ,1.4 ,0.6 ,0.1 ,0.1 ,1.5 ,4.3 ,Shooting Guard,Guard
 Troy Murphy,3.2 ,0.7 ,0.6 ,0.4 ,0.1 ,1.3 ,3.1 ,Forward Center,Forward
 Ty Lawson,2.6 ,4.7 ,1.7 ,1.0 ,0.1 ,1.7 ,11.7 ,Point Guard,Guard
 Tyler Hansbrough,5.2 ,0.6 ,1.1 ,0.5 ,0.2 ,2.3 ,11.0 ,Forward Center,Forward
 Tyreke Evans,4.8 ,5.6 ,3.2 ,1.5 ,0.5 ,2.5 ,17.8 ,Guard Forward,Guard
 Tyrus Thomas,5.5 ,0.7 ,1.6 ,0.7 ,1.6 ,2.8 ,10.2 ,Power Forward,Forward
 Tyson Chandler,9.4 ,0.4 ,1.2 ,0.5 ,1.1 ,3.2 ,10.1 ,Center,Center
 Udonis Haslem,8.2 ,0.5 ,1.1 ,0.5 ,0.2 ,3.0 ,8.0 ,Power Forward,Forward
 Vince Carter,3.8 ,2.0 ,1.2 ,0.9 ,0.3 ,2.6 ,14.0 ,Guard Forward,Guard
 Vladimir Radmanovic,2.9 ,1.1 ,0.8 ,0.6 ,0.6 ,2.1 ,5.1 ,Small Forward,Forward
 Von Wafer,0.8 ,0.6 ,0.3 ,0.3 ,0.1 ,0.7 ,3.2 ,Guard,Guard
 Wayne Ellington,1.7 ,1.2 ,0.9 ,0.5 ,0.0 ,1.4 ,6.6 ,Guard Forward,Guard
 Wesley Johnson,3.0 ,1.9 ,1.2 ,0.7 ,0.7 ,2.1 ,9.0 ,Guard Forward,Guard
 Wesley Matthews,3.1 ,2.0 ,1.7 ,1.2 ,0.1 ,2.4 ,15.9 ,Guard Forward,Guard
 Willie Green,2.1 ,1.0 ,0.9 ,0.5 ,0.2 ,1.9 ,8.7 ,Shooting Guard,Guard
 Willie Warren,0.6 ,1.4 ,0.4 ,0.3 ,0.0 ,0.8 ,1.9 ,Shooting Guard,Guard
 Wilson Chandler,5.7 ,1.7 ,1.4 ,0.7 ,1.3 ,2.8 ,15.3 ,Forward,Forward
 Xavier Henry,1.0 ,0.5 ,0.3 ,0.3 ,0.1 ,1.3 ,4.3 ,Guard Forward,Guard
 Yao Ming,5.4 ,0.8 ,1.4 ,0.0 ,1.6 ,2.6 ,10.2 ,Center,Center
 Yi Jianlian,3.9 ,0.4 ,0.8 ,0.4 ,0.5 ,1.8 ,5.6 ,Forward Center,Forward
 Zach Randolph,12.2 ,2.2 ,2.0 ,0.8 ,0.3 ,2.3 ,20.1 ,Forward Center,Forward
 Zaza Pachulia,4.2 ,0.7 ,0.9 ,0.4 ,0.3 ,2.3 ,4.4 ,Center,Center
 Zydrunas Ilgauskas,4.0 ,0.4 ,0.7 ,0.3 ,0.8 ,2.6 ,5.0 ,Center,Center
Amar'e Stoudemire,8.2 ,2.6 ,3.2 ,0.9 ,1.9 ,3.5 ,25.3 ,Forward Center,Forward
Brook Lopez,6.0 ,1.6 ,2.1 ,0.6 ,1.5 ,2.9 ,20.4 ,Center,Center
Danny Granger,5.4 ,2.6 ,2.6 ,1.1 ,0.8 ,2.7 ,20.5 ,Point Guard,Guard
David West,7.6 ,2.3 ,2.0 ,1.0 ,0.9 ,2.9 ,18.9 ,Point Guard,Guard
Derrick Rose,4.1 ,7.7 ,3.4 ,1.0 ,0.6 ,1.7 ,25.0 ,Point Guard,Guard
Dwyane Wade,6.4 ,4.6 ,3.1 ,1.5 ,1.1 ,2.6 ,25.5 ,Guard,Guard
Kevin Durant,6.8 ,2.7 ,2.8 ,1.1 ,1.0 ,2.0 ,27.7 ,Forward,Forward
Kobe Bryant,5.1 ,4.7 ,3.0 ,1.2 ,0.1 ,2.1 ,25.3 ,Guard Forward,Guard
