Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Marvin Williams,6.4,1.4,0.8,0.7,1,1.6,11.7,Forward,Foward
Metta World Peace,2.5,0.8,0.4,0.6,0.3,1.9,5,Forward,Foward
Michael Beasley,4.9,0.8,1.2,0.6,0.5,2,12.8,Forward,Foward
Mirza Teletovic,3.8,1.1,1.1,0.4,0.3,2,12.2,Forward,Foward
Nikola Mirotic,5.5,1.5,1.5,0.9,0.7,2.3,11.8,Forward,Foward
Omri Casspi,5.9,1.4,1.4,0.8,0.2,2.2,11.8,Forward,Foward
Paul George,7,4.1,3.3,1.9,0.4,2.8,23.1,Forward,Foward
Paul Pierce,2.7,1,0.9,0.5,0.3,1.9,6.1,Forward,Foward
Quincy Acy,3.2,0.5,0.5,0.5,0.4,1.7,5.2,Forward,Foward
Robert Covington,6.3,1.4,2.1,1.6,0.6,3.5,12.8,Forward,Foward
Rudy Gay,6.5,1.7,2,1.4,0.7,2.6,17.2,Forward,Foward
Ryan Kelly,3.4,0.6,0.5,0.4,0.3,1.1,4.2,Forward,Foward
Sam Dekker,0.3,0,0,0.3,0,0,0,Forward,Foward
Steve Novak,0.5,0,0.1,0,0,0.3,2.4,Forward,Foward
Tayshaun Prince,1.9,1,0.4,0.5,0.2,0.8,2.9,Forward,Foward
Terrence Jones,4.2,0.8,1,0.5,0.8,1.7,8.7,Forward,Foward
Thaddeus Young,9,1.9,1.9,1.5,0.5,2.5,15.1,Forward,Foward
Tobias Harris,6.7,2.2,1.4,0.9,0.5,2,14.7,Forward,Foward
Al Horford,7.3,3.2,1.3,0.8,1.5,2,15.2,Forward Center,Foward
Al Jefferson,6.4,1.5,0.7,0.6,0.9,2.5,12,Forward Center,Foward
Alex Len,7.6,1.2,1.9,0.5,0.8,2.9,9,Forward Center,Foward
Alexis Ajinca,4.6,0.5,0.9,0.3,0.6,2.3,6,Forward Center,Foward
Amar'e Stoudemire,4.3,0.5,0.9,0.4,0.8,1.8,5.8,Forward Center,Foward
Amir Johnson,6.4,1.7,1.2,0.7,1.1,2.7,7.3,Forward Center,Foward
Anderson Varejao,2.7,0.7,0.4,0.3,0.2,1.3,2.6,Forward Center,Foward
Andre Drummond,14.8,0.8,1.9,1.5,1.4,3,16.2,Forward Center,Foward
Andrea Bargnani,2.1,0.4,0.6,0.1,0.2,1.3,6.6,Forward Center,Foward
Anthony Davis,10.3,1.9,2,1.3,2,2.4,24.3,Forward Center,Foward
Bismack Biyombo,8,0.4,0.9,0.2,1.6,2.7,5.5,Forward Center,Foward
Blake Griffin,8.4,4.9,2.4,0.8,0.5,2.7,21.4,Forward Center,Foward
Bobby Portis,5.4,0.8,0.9,0.4,0.4,1.6,7,Forward Center,Foward
Boris Diaw,3.1,2.3,1.3,0.3,0.3,1.3,6.4,Forward Center,Foward
Brandan Wright,3.6,0.5,0.8,0.4,1.3,1.8,6.9,Forward Center,Foward
Brandon Bass,4.3,1.1,0.6,0.5,0.8,1.9,7.2,Forward Center,Foward
Cameron Bairstow,1.6,0.3,0.2,0.1,0.2,1.1,1.9,Forward Center,Foward
Channing Frye,3.3,1,0.6,0.4,0.4,1.8,6,Forward Center,Foward
Chris Andersen,3.6,0.4,0.3,0.6,0.5,1.1,3.9,Forward Center,Foward
Chris Bosh,7.4,2.4,1.5,0.7,0.6,1.9,19.1,Forward Center,Foward
Chris Kaman,1.5,0.7,0.5,0.1,0.1,0.9,2.8,Forward Center,Foward
Christian Wood,2.2,0.2,0.1,0.3,0.4,0.6,3.6,Forward Center,Foward
Chuck Hayes,4,1,1.5,0,0,3,2,Forward Center,Foward
Clint Capela,6.4,0.6,0.8,0.8,1.2,2.5,7,Forward Center,Foward
Cody Zeller,6.2,1,0.9,0.8,0.9,2.8,8.7,Forward Center,Foward
Darrell Arthur,4.2,1.4,0.9,0.8,0.7,2.6,7.5,Forward Center,Foward
David Lee,5.5,1.5,1.2,0.4,0.5,2.1,7.8,Forward Center,Foward
