97,1.6,0.5,0.6,0.3,0.2,0.6,1.8
98,0.6,0.3,0.4,0.1,0.0,1.0,2.3
99,5.3,2.5,1.5,0.8,0.4,1.6,19.5
100,3.8,1.8,0.9,1.0,0.8,1.8,7.2
101,3.0,1.0,0.5,0.5,0.4,2.2,6.1
102,4.2,1.4,0.9,0.8,0.7,2.6,7.5
103,2.3,4.3,1.8,1.0,0.1,1.9,14.0
104,1.2,0.7,0.5,0.2,0.0,0.7,4.0
105,5.5,1.5,1.2,0.4,0.5,2.1,7.8
106,4.0,1.8,0.9,0.6,0.7,1.8,7.1
107,13.8,1.2,1.4,0.7,2.3,2.7,12.7
108,2.0,0.4,0.5,0.3,0.1,1.8,2.1
109,4.5,4.0,2.2,1.0,0.3,2.1,23.5
110,11.5,3.3,3.8,1.6,1.4,3.6,26.9
111,4.7,1.0,1.1,1.7,0.2,2.4,11.0
112,1.4,1.1,0.6,0.3,0.1,0.3,3.8
113,2.6,4.4,2.3,0.9,0.1,1.7,11.0
114,2.9,5.8,2.3,0.9,0.2,2.4,14.1
115,8.1,1.5,1.7,1.2,1.5,2.4,16.4
116,3.4,4.7,2.7,0.7,0.2,1.3,16.4
117,3.7,0.9,0.8,0.4,0.1,0.9,9.3
118,2.5,2.6,2.1,0.6,0.3,3.0,13.8
119,2.2,1.8,1.0,0.9,0.2,1.9,7.6
120,1.4,0.4,0.3,0.5,0.0,0.9,2.1
121,3.9,0.2,0.6,0.4,0.8,1.9,4.4
122,2.6,2.0,1.5,1.0,0.2,1.8,9.8
123,6.5,1.8,1.1,0.7,0.7,2.1,18.3
124,2.8,4.4,1.3,0.5,0.1,1.2,7.0
125,2.9,1.1,1.2,0.5,0.1,1.9,6.2
126,2.4,0.7,0.7,0.2,0.1,1.6,9.4
127,9.5,7.4,3.2,1.5,1.4,3.0,14.0
128,2.8,0.4,0.4,0.3,0.4,1.3,2.7
129,4.0,1.0,0.0,1.0,0.0,2.0,6.0
130,11.8,1.4,2.3,1.0,1.6,3.1,13.7
131,4.0,0.6,0.6,0.5,0.3,1.7,5.8
132,4.1,4.6,2.7,1.1,0.6,1.6,19.0
133,2.3,1.7,0.9,0.6,0.3,1.7,7.5
134,7.4,1.1,0.8,0.7,0.9,2.5,6.5
135,3.6,6.4,2.4,1.2,0.3,2.2,10.7
136,1.8,1.0,0.5,0.4,0.2,1.7,1.8
137,0.8,0.8,0.2,0.0,0.0,0.4,1.6
138,3.7,1.1,0.6,0.5,0.5,1.9,4.1
139,3.4,5.5,3.2,1.0,0.5,2.1,12.8
140,8.1,0.4,1.4,0.3,0.4,2.0,12.7
141,4.0,6.1,3.5,2.0,0.6,2.4,20.4
142,2.2,2.7,1.6,1.0,0.3,2.2,15.2
143,1.4,0.1,0.4,0.0,0.5,0.5,1.0
144,0.7,0.3,0.0,0.1,0.0,0.4,1.4
145,5.4,0.9,1.0,0.7,0.4,2.3,10.4
146,2.8,2.7,1.7,1.2,0.0,2.7,15.4
147,4.9,4.4,2.1,1.0,0.3,1.7,10.5
148,5.6,0.7,0.8,0.4,1.1,2.0,7.0
149,4.1,1.2,0.7,0.5,0.5,1.6,7.5
150,2.7,1.8,0.8,0.9,0.2,2.4,7.3
151,2.9,1.9,1.3,1.3,0.2,1.9,12.3
152,2.1,1.2,0.7,0.5,0.0,1.4,9.8
153,4.0,3.5,1.4,1.1,0.2,2.0,12.1
154,2.4,0.8,0.7,0.6,0.3,1.8,8.9
155,2.9,1.0,0.9,0.5,0.3,1.2,8.7
156,7.7,4.3,2.6,1.2,1.4,3.2,16.9
157,1.5,0.6,0.4,0.4,0.2,0.5,3.8
158,3.8,5.8,2.6,1.0,0.2,2.6,14.1
159,5.0,3.7,2.5,1.2,0.3,2.3,19.7
160,7.1,1.7,1.7,1.1,1.2,2.7,10.1
161,8.8,2.3,1.6,0.9,0.8,2.1,15.3
162,2.3,0.3,0.4,0.2,0.1,1.6,2.4
163,2.0,4.0,1.7,0.4,0.0,1.8,5.7
164,4.9,1.8,0.9,0.6,0.2,2.1,11.7
165,11.8,0.4,1.9,0.6,3.7,2.8,14.2
166,5.1,0.6,0.9,0.6,1.0,2.6,6.5
167,3.5,1.3,1.0,0.5,0.3,2.4,9.8
168,1.0,1.0,0.7,0.3,0.2,0.9,3.6
169,7.1,1.5,1.4,0.9,1.1,3.1,9.3
170,3.8,1.7,1.1,1.0,0.4,2.2,5.8
171,2.3,1.8,1.2,0.7,0.2,1.7,11.0
172,3.0,6.2,2.7,1.1,0.1,2.0,22.2
173,4.0,6.5,2.3,1.1,0.3,1.7,12.6
174,0.5,0.0,0.0,0.5,0.0,0.5,0.0
175,2.8,1.7,0.8,1.1,0.3,2.6,12.4
176,3.8,0.7,0.7,0.4,0.4,1.3,5.9
177,1.9,1.4,1.0,0.6,0.1,1.8,16.3
178,2.6,0.6,1.0,0.3,0.5,1.9,5.1
179,4.8,0.9,1.1,0.6,0.4,2.4,7.4
180,3.9,0.1,0.6,0.1,0.8,1.4,5.1
181,5.2,1.7,1.5,0.9,0.4,2.0,14.1
182,5.1,1.8,1.1,1.7,0.5,2.7,14.2
183,7.0,1.2,2.3,0.4,1.2,2.6,17.5
184,1.8,2.3,1.4,0.7,0.2,1.5,14.2
185,2.9,4.9,1.7,0.6,0.1,2.6,7.7
186,1.7,0.8,0.8,0.4,0.3,1.1,3.5
187,1.9,1.0,0.9,0.7,0.2,1.3,7.2
188,6.1,7.5,4.6,1.7,0.6,2.8,29.0
189,2.2,1.2,0.9,0.5,0.6,1.5,5.0
190,1.0,0.3,0.3,0.2,0.2,1.0,3.7
191,1.4,0.4,0.4,0.2,0.2,1.0,2.9
192,0.9,0.3,0.2,0.2,0.0,0.6,1.0
193,0.9,0.5,0.5,0.3,0.0,0.9,2.7
194,3.5,2.1,1.0,0.9,0.2,2.3,7.9
195,8.3,2.3,1.3,0.9,0.6,2.6,10.3
196,0.9,0.2,0.0,0.2,0.0,0.2,2.4
197,3.2,0.6,0.7,0.3,0.3,2.1,5.7
198,0.6,0.1,0.0,0.1,0.0,0.1,1.0
199,4.3,7.4,2.9,1.1,0.2,2.4,12.8
200,2.9,0.8,0.8,0.4,0.9,2.1,7.2
201,1.1,1.4,0.7,0.7,0.1,1.3,5.9
202,2.9,0.6,0.3,0.3,0.4,1.7,3.1
203,1.3,0.3,0.4,0.0,0.2,1.1,1.8
204,4.2,1.7,1.2,0.7,0.5,2.1,11.7
205,2.7,5.9,2.8,1.2,0.3,2.1,15.7
206,3.4,0.4,0.5,0.4,1.0,1.5,4.3
207,4.7,1.8,1.4,0.7,1.6,2.8,9.7
208,1.8,0.1,0.2,0.2,0.3,0.6,2.4
209,3.8,1.2,0.8,0.6,0.5,1.6,8.8
210,3.2,3.0,1.9,0.7,0.5,2.1,11.7
211,1.9,2.3,1.1,0.7,0.1,1.3,5.6
212,2.7,3.1,1.4,0.9,0.2,2.1,10.4
213,0.0,0.2,0.3,0.2,0.0,0.3,1.5
214,5.3,4.8,2.0,1.6,0.6,1.9,20.9
215,8.8,3.8,1.8,0.6,1.0,2.7,4.3
216,1.7,1.0,0.3,0.0,0.0,0.7,7.3
217,0.6,0.4,0.2,0.0,0.0,0.2,0.6
218,1.9,1.2,0.8,0.7,0.0,1.2,4.2
219,3.6,3.9,2.0,0.8,0.0,1.8,12.2
220,1.2,1.6,0.8,0.4,0.0,0.7,3.8
221,1.1,0.1,0.1,0.1,0.6,0.8,0.9
222,4.9,0.9,0.9,0.2,0.3,1.9,7.9
223,3.9,0.9,1.1,0.3,1.9,2.3,7.0
224,1.3,0.8,0.6,0.2,0.0,0.5,4.1
225,4.9,10.2,4.1,1.9,0.8,2.1,19.9
226,2.7,0.5,0.5,0.3,0.1,1.5,3.0
227,5.6,1.1,1.1,0.6,0.4,1.9,8.5
228,3.7,0.8,0.7,0.3,0.3,1.8,4.4
229,9.1,0.7,1.4,0.4,1.3,2.6,12.8
230,1.7,1.1,1.0,0.4,0.1,1.9,6.0
231,1.0,1.5,1.0,1.5,0.0,1.0,3.5
232,4.0,2.4,1.7,1.1,0.1,2.1,15.5
233,2.1,3.1,1.5,1.3,0.2,1.8,9.2
234,5.6,2.3,1.5,0.7,0.3,2.2,11.4
235,6.2,1.2,1.3,0.5,0.5,2.1,8.8
236,0.9,1.1,0.7,0.1,0.0,0.8,4.5
237,0.8,0.1,0.1,0.0,0.7,0.3,1.3
238,0.6,1.4,0.5,0.3,0.0,0.3,1.8
239,3.2,4.1,1.2,0.9,0.1,1.9,7.6
240,2.1,4.1,1.5,0.4,0.0,1.5,10.9
241,2.0,0.0,0.6,0.2,0.4,0.6,2.8
242,2.5,1.9,0.7,0.4,0.2,1.6,3.6
243,2.1,1.4,0.7,0.7,0.5,2.1,6.6
244,3.5,1.6,1.4,0.6,0.9,2.1,6.0
245,3.0,6.0,2.6,1.4,0.3,2.3,16.8
246,10.2,1.8,1.8,0.7,0.4,3.0,11.3
247,2.4,0.5,0.4,0.3,0.5,0.8,3.8
248,0.2,0.0,0.4,0.2,0.0,0.6,2.6
249,1.7,1.1,0.7,0.6,0.4,1.2,4.5
250,5.2,1.5,1.2,0.9,0.3,2.4,6.4
251,5.5,1.3,1.7,0.8,1.4,2.8,8.2
252,1.1,0.3,0.5,0.2,0.2,0.8,2.4
253,10.5,2.0,2.2,0.7,1.7,3.0,18.3
254,6.8,2.6,1.5,1.8,1.0,1.8,21.2
255,0.2,0.2,0.6,0.2,0.0,1.0,1.2
256,4.1,1.5,1.1,0.8,0.5,2.4,10.0
257,2.1,0.2,0.5,0.3,0.1,1.6,3.7
258,4.4,5.2,2.1,1.6,0.5,1.4,20.9
